,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
21340,None,272.55,0.0,0.0,40,Clouds,scattered clouds,2/16/2016 17:00,6009,very high
13808,None,288.43,0.0,0.0,75,Clouds,broken clouds,4/20/2014 23:00,1132,very low
38768,None,274.22,0.0,0.0,1,Clear,sky is clear,11/8/2017 12:00,4585,high
20846,None,269.95,0.0,0.0,90,Snow,light snow,1/26/2016 1:00,314,very low
22942,None,284.28,0.0,0.0,90,Drizzle,drizzle,4/30/2016 20:00,3347,medium
17886,None,296.83,1.27,0.0,75,Rain,moderate rain,9/2/2015 2:00,325,very low
26678,None,288.58,0.0,0.0,1,Clear,sky is clear,9/17/2016 3:00,391,very low
29214,None,260.65,0.0,0.0,90,Snow,light snow,12/17/2016 4:00,333,very low
44640,None,290.55,0.0,0.0,5,Rain,heavy intensity rain,6/2/2018 22:00,2808,low
10859,None,263.41,0.0,0.0,64,Clouds,broken clouds,12/22/2013 1:00,765,very low
33799,None,279.02,0.0,0.0,1,Clear,sky is clear,5/19/2017 7:00,6490,very high
14910,None,291.78,0.0,0.0,0,Clear,Sky is Clear,6/5/2014 8:00,6045,very high
6290,None,286.93,0.0,0.0,90,Rain,light rain,5/22/2013 16:00,6702,very high
10289,None,274.81,0.0,0.0,64,Haze,haze,12/2/2013 11:00,4584,high
4238,None,274.59,0.0,0.0,90,Drizzle,light intensity drizzle,3/11/2013 1:00,362,very low
12025,None,255.48,0.0,0.0,90,Clouds,overcast clouds,2/5/2014 10:00,4212,medium
18928,None,287.47,0.0,0.0,1,Clear,sky is clear,10/11/2015 5:00,327,very low
41334,None,258.8,0.0,0.0,1,Clear,sky is clear,2/7/2018 21:00,2463,low
26694,None,292.16,0.0,0.0,1,Clear,sky is clear,9/17/2016 19:00,3592,medium
22457,None,297.48,0.0,0.0,1,Clear,sky is clear,4/14/2016 18:00,4686,high
12062,None,255.08,0.0,0.0,20,Clouds,few clouds,2/6/2014 23:00,1250,very low
23919,None,289.77,0.0,0.0,1,Rain,light rain,6/3/2016 23:00,1999,low
16026,None,296.23,0.55,0.0,40,Rain,moderate rain,6/26/2015 18:00,4416,high
31806,None,274.83,0.0,0.0,90,Drizzle,light intensity drizzle,3/16/2017 22:00,2857,low
46904,None,295.21,0.0,0.0,75,Clouds,broken clouds,8/21/2018 16:00,6229,very high
38605,None,271.75,0.0,0.0,1,Clear,sky is clear,11/3/2017 4:00,842,very low
5268,None,274.03,0.0,0.0,90,Snow,heavy snow,4/19/2013 2:00,261,very low
32360,None,281.82,0.0,0.0,40,Mist,mist,4/4/2017 0:00,561,very low
6808,None,288.12,0.0,0.0,88,Clouds,overcast clouds,6/8/2013 22:00,3254,medium
27993,None,278.89,0.0,0.0,1,Clear,sky is clear,11/11/2016 10:00,4478,high
6346,None,283.92,0.0,0.0,90,Drizzle,light intensity drizzle,5/23/2013 19:00,2542,low
6017,None,287.86,0.0,0.0,90,Rain,light rain,5/14/2013 13:00,5027,high
44994,None,298.76,0.0,0.0,1,Clear,sky is clear,6/16/2018 1:00,825,very low
25511,None,297.0,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 13:00,4781,high
41950,None,268.01,0.0,0.0,1,Clear,sky is clear,3/1/2018 7:00,6275,very high
17305,None,290.0,0.0,0.0,1,Clear,sky is clear,8/12/2015 0:00,617,very low
12272,None,265.59,0.0,0.0,90,Clouds,overcast clouds,2/15/2014 17:00,3908,medium
28630,None,274.88,0.0,0.0,90,Rain,moderate rain,11/29/2016 6:00,5552,high
21246,None,257.82,0.0,0.0,5,Clear,sky is clear,2/12/2016 19:00,3891,medium
34766,None,287.77,0.0,0.0,1,Clear,sky is clear,6/23/2017 7:00,6583,very high
47273,None,294.92,0.25,0.0,40,Rain,moderate rain,9/1/2018 4:00,419,very low
22043,None,277.87,0.0,0.0,90,Drizzle,drizzle,3/26/2016 8:00,2608,low
25278,None,297.37,0.0,0.0,90,Rain,light rain,7/27/2016 10:00,4374,high
37085,None,289.44,0.0,0.0,1,Fog,fog,9/12/2017 1:00,364,very low
42548,None,277.62,0.0,0.0,40,Clouds,scattered clouds,3/22/2018 15:00,5963,very high
26753,None,286.28,0.0,0.0,32,Clouds,scattered clouds,9/20/2016 8:00,6224,very high
22540,None,297.45,0.0,0.0,75,Haze,haze,4/18/2016 15:00,5850,very high
5333,None,271.98,0.0,0.0,90,Snow,heavy snow,4/20/2013 6:00,1421,very low
26757,None,294.32,0.0,0.0,0,Clear,Sky is Clear,9/20/2016 13:00,4351,medium
22265,None,275.72,0.0,0.0,90,Rain,light rain,4/6/2016 2:00,292,very low
4868,None,278.01,0.0,0.0,90,Rain,moderate rain,4/7/2013 18:00,3599,medium
38225,None,289.42,0.0,0.0,90,Drizzle,drizzle,10/21/2017 20:00,3000,medium
42351,None,269.86,0.0,0.0,1,Clear,sky is clear,3/15/2018 8:00,5907,very high
36341,None,292.92,0.0,0.0,90,Rain,moderate rain,8/17/2017 4:00,917,very low
8272,None,288.55,0.0,0.0,0,Clear,Sky is Clear,8/8/2013 8:00,6067,very high
41379,None,261.08,0.0,0.0,20,Clouds,few clouds,2/9/2018 15:00,5861,very high
12828,None,277.65,0.0,0.0,90,Clouds,overcast clouds,3/11/2014 0:00,616,very low
3082,None,254.7,0.0,0.0,90,Clouds,overcast clouds,1/21/2013 7:00,4397,high
33730,None,292.75,0.0,0.0,90,Mist,mist,5/17/2017 16:00,6426,very high
3057,None,271.42,0.0,0.0,40,Clouds,scattered clouds,1/19/2013 23:00,3125,medium
1223,None,277.1,0.0,0.0,99,Rain,light rain,11/16/2012 3:00,391,very low
27842,None,277.09,0.0,0.0,1,Mist,mist,11/5/2016 6:00,1200,very low
28015,None,273.82,0.0,0.0,1,Clear,sky is clear,11/12/2016 8:00,2844,low
20836,None,272.08,0.0,0.0,90,Snow,light snow,1/25/2016 16:00,6309,very high
7830,None,296.36,0.0,0.0,32,Clouds,scattered clouds,7/21/2013 12:00,4505,high
14025,None,286.77,0.0,0.0,48,Clouds,scattered clouds,5/4/2014 18:00,4534,high
14583,None,292.44,0.0,0.0,1,Clear,sky is clear,5/23/2014 10:00,4798,high
41371,None,256.01,0.0,0.0,40,Clouds,scattered clouds,2/9/2018 7:00,6499,very high
144,None,284.23,0.0,0.0,40,Clouds,scattered clouds,10/8/2012 18:00,4259,medium
42135,None,266.94,0.0,0.0,1,Clear,sky is clear,3/7/2018 1:00,376,very low
37628,None,289.22,0.0,0.0,75,Thunderstorm,proximity thunderstorm,10/1/2017 23:00,1349,very low
41343,None,256.22,0.0,0.0,1,Snow,light snow,2/8/2018 6:00,5449,high
32518,None,282.36,0.0,0.0,90,Clouds,overcast clouds,4/10/2017 5:00,2614,low
16201,None,293.02,0.0,0.0,1,Clear,sky is clear,7/2/2015 21:00,2997,medium
5443,None,273.89,0.0,0.0,90,Fog,fog,4/23/2013 18:00,4641,high
8676,None,303.82,0.0,0.0,0,Clear,Sky is Clear,8/26/2013 20:00,3321,medium
31754,None,266.28,0.0,0.0,1,Clear,sky is clear,3/14/2017 22:00,1744,low
45682,None,295.37,0.0,0.0,1,Clear,sky is clear,7/9/2018 6:00,5679,high
6268,None,289.11,0.0,0.0,90,Mist,mist,5/22/2013 0:00,566,very low
15911,None,292.6,0.0,0.0,75,Clouds,broken clouds,8/5/2014 9:00,5157,high
10079,None,264.38,0.0,0.0,40,Clouds,scattered clouds,11/23/2013 12:00,5311,high
12335,None,267.32,0.0,0.0,20,Clouds,few clouds,2/18/2014 8:00,5400,high
7364,None,293.81,0.0,0.0,1,Clear,sky is clear,7/1/2013 21:00,2524,low
17071,None,292.98,0.0,0.0,1,Clear,sky is clear,8/3/2015 9:00,4773,high
44999,None,297.69,0.0,0.0,1,Clear,sky is clear,6/16/2018 6:00,1196,very low
42339,None,279.35,0.0,0.0,5,Clear,sky is clear,3/14/2018 19:00,3426,medium
24242,None,291.76,0.0,0.0,0,Clear,Sky is Clear,6/17/2016 0:00,844,very low
27760,None,278.89,0.0,0.0,1,Clear,sky is clear,11/2/2016 0:00,559,very low
32953,None,292.96,0.0,0.0,5,Clear,sky is clear,4/22/2017 16:00,4436,high
3768,None,262.02,0.0,0.0,57,Clouds,broken clouds,2/21/2013 14:00,5484,high
32973,None,287.69,0.0,0.0,1,Clear,sky is clear,4/23/2017 12:00,4907,high
45538,None,297.15,0.0,0.0,90,Drizzle,light intensity drizzle,7/3/2018 15:00,5526,high
17203,None,291.7,0.0,0.0,40,Mist,mist,8/8/2015 5:00,797,very low
12945,None,269.25,0.0,0.0,75,Clouds,broken clouds,3/15/2014 21:00,3252,medium
40469,None,278.01,0.0,0.0,75,Clouds,broken clouds,1/9/2018 17:00,6104,very high
27797,None,284.89,0.0,0.0,75,Clouds,broken clouds,11/3/2016 11:00,4459,high
24839,None,292.11,0.25,0.0,90,Mist,mist,7/10/2016 9:00,3062,medium
29150,None,250.15,0.0,0.0,5,Clear,sky is clear,12/15/2016 9:00,5097,high
38363,None,274.75,0.0,0.0,90,Snow,light snow,10/27/2017 0:00,685,very low
2241,None,272.43,0.0,0.0,75,Haze,haze,12/20/2012 15:00,5632,high
40158,None,258.68,0.0,0.0,75,Haze,haze,12/28/2017 11:00,3433,medium
26629,None,294.26,0.0,0.0,90,Thunderstorm,proximity thunderstorm,9/15/2016 12:00,4857,high
30698,None,262.09,0.0,0.0,1,Clear,sky is clear,2/1/2017 22:00,1753,low
134,None,271.23,0.0,0.0,20,Clouds,few clouds,10/8/2012 8:00,5966,very high
13724,None,272.05,0.25,0.0,90,Rain,light rain,4/17/2014 9:00,5241,high
41927,None,266.08,0.0,0.0,5,Mist,mist,2/28/2018 8:00,6007,very high
46688,None,302.42,0.0,0.0,5,Clear,sky is clear,8/13/2018 20:00,2835,low
12202,None,266.26,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 19:00,3150,medium
47217,None,285.24,0.25,0.0,40,Rain,light rain,8/30/2018 6:00,5886,very high
47245,None,293.37,0.85,0.0,90,Drizzle,light intensity drizzle,8/31/2018 4:00,851,very low
45473,None,294.02,0.0,0.0,90,Drizzle,light intensity drizzle,7/1/2018 9:00,2495,low
45744,None,303.72,0.0,0.0,75,Clouds,broken clouds,7/11/2018 19:00,3412,medium
26348,None,296.4,0.0,0.0,90,Rain,moderate rain,9/5/2016 19:00,2751,low
712,None,273.63,0.0,0.0,90,Clouds,overcast clouds,10/28/2012 3:00,443,very low
40820,None,274.86,0.0,0.0,75,Clouds,broken clouds,1/20/2018 20:00,3497,medium
46257,None,296.61,0.0,0.0,1,Clear,sky is clear,7/29/2018 11:00,3824,medium
33487,None,289.93,0.0,0.0,20,Clouds,few clouds,5/9/2017 12:00,4943,high
12188,None,263.64,0.0,0.0,90,Clouds,overcast clouds,2/12/2014 5:00,2678,low
35717,None,292.49,0.0,0.0,1,Mist,mist,7/27/2017 1:00,612,very low
28501,None,273.09,0.0,0.0,5,Mist,mist,11/26/2016 20:00,2548,low
25495,None,293.36,0.0,0.0,0,Clear,Sky is Clear,8/4/2016 21:00,3048,medium
18167,None,281.62,0.0,0.0,1,Clear,sky is clear,9/11/2015 4:00,854,very low
35582,None,304.02,0.0,0.0,40,Clouds,scattered clouds,7/22/2017 17:00,4192,medium
34761,None,288.84,0.0,0.0,1,Clear,sky is clear,6/23/2017 2:00,561,very low
24545,None,296.7,0.0,0.0,75,Clouds,broken clouds,6/29/2016 12:00,4635,high
43075,None,273.22,0.0,0.0,40,Clouds,scattered clouds,4/9/2018 11:00,4276,medium
15881,None,291.99,0.0,0.0,1,Mist,mist,8/4/2014 6:00,5592,high
4779,None,277.72,0.0,0.0,1,Clear,sky is clear,4/4/2013 13:00,5180,high
37351,None,297.36,0.0,0.0,1,Clear,sky is clear,9/22/2017 1:00,505,very low
6422,None,288.64,0.0,0.0,90,Clouds,overcast clouds,5/26/2013 16:00,3464,medium
10221,None,271.95,0.0,0.0,64,Clouds,broken clouds,11/29/2013 18:00,3587,medium
9661,None,273.85,0.0,0.0,64,Snow,light snow,11/6/2013 4:00,859,very low
37491,None,288.29,0.0,0.0,90,Drizzle,light intensity drizzle,9/26/2017 11:00,4716,high
5097,None,273.98,0.0,0.0,90,Snow,heavy snow,4/13/2013 19:00,3319,medium
29879,None,264.75,0.0,0.0,90,Snow,light snow,1/9/2017 2:00,473,very low
38104,None,279.55,0.0,0.0,1,Clear,sky is clear,10/17/2017 6:00,6046,very high
10568,None,260.59,0.0,0.0,64,Mist,mist,12/10/2013 5:00,2627,low
16742,None,292.34,0.0,0.0,1,Clear,sky is clear,7/21/2015 9:00,5024,high
23261,None,285.91,0.7,0.0,90,Drizzle,drizzle,5/11/2016 19:00,3243,medium
47401,None,295.28,1.21,0.0,90,Rain,heavy intensity rain,9/4/2018 11:00,4477,high
9245,None,286.88,0.0,0.0,92,Rain,light rain,10/3/2013 21:00,3179,medium
40799,None,270.55,0.0,0.0,1,Mist,mist,1/20/2018 3:00,366,very low
47283,None,297.06,0.25,0.0,90,Rain,light rain,9/1/2018 11:00,4897,high
2575,None,260.53,0.0,0.0,20,Clouds,few clouds,1/1/2013 16:00,2864,low
42067,None,274.79,0.0,0.0,90,Snow,light shower snow,3/5/2018 10:00,3586,medium
29943,None,259.34,0.0,0.0,1,Clear,sky is clear,1/10/2017 20:00,2219,low
47509,None,294.26,0.0,0.0,40,Clouds,scattered clouds,9/7/2018 12:00,5073,high
