,Unnamed: 0,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
0,21340,None,272.55,0.0,0.0,40,Clouds,scattered clouds,2/16/2016 17:00,6009,very high
1,13808,None,288.43,0.0,0.0,75,Clouds,broken clouds,4/20/2014 23:00,1132,very low
2,38768,None,274.22,0.0,0.0,1,Clear,sky is clear,11/8/2017 12:00,4585,high
3,20846,None,269.95,0.0,0.0,90,Snow,light snow,1/26/2016 1:00,314,very low
4,22942,None,284.28,0.0,0.0,90,Drizzle,drizzle,4/30/2016 20:00,3347,medium
5,17886,None,296.83,1.27,0.0,75,Rain,moderate rain,9/2/2015 2:00,325,very low
6,26678,None,288.58,0.0,0.0,1,Clear,sky is clear,9/17/2016 3:00,391,very low
7,29214,None,260.65,0.0,0.0,90,Snow,light snow,12/17/2016 4:00,333,very low
8,44640,None,290.55,0.0,0.0,5,Rain,heavy intensity rain,6/2/2018 22:00,2808,low
9,10859,None,263.41,0.0,0.0,64,Clouds,broken clouds,12/22/2013 1:00,765,very low
10,33799,None,279.02,0.0,0.0,1,Clear,sky is clear,5/19/2017 7:00,6490,very high
11,14910,None,291.78,0.0,0.0,0,Clear,Sky is Clear,6/5/2014 8:00,6045,very high
12,6290,None,286.93,0.0,0.0,90,Rain,light rain,5/22/2013 16:00,6702,very high
13,10289,None,274.81,0.0,0.0,64,Haze,haze,12/2/2013 11:00,4584,high
14,4238,None,274.59,0.0,0.0,90,Drizzle,light intensity drizzle,3/11/2013 1:00,362,very low
15,12025,None,255.48,0.0,0.0,90,Clouds,overcast clouds,2/5/2014 10:00,4212,medium
16,18928,None,287.47,0.0,0.0,1,Clear,sky is clear,10/11/2015 5:00,327,very low
17,41334,None,258.8,0.0,0.0,1,Clear,sky is clear,2/7/2018 21:00,2463,low
18,26694,None,292.16,0.0,0.0,1,Clear,sky is clear,9/17/2016 19:00,3592,medium
19,22457,None,297.48,0.0,0.0,1,Clear,sky is clear,4/14/2016 18:00,4686,high
20,12062,None,255.08,0.0,0.0,20,Clouds,few clouds,2/6/2014 23:00,1250,very low
21,23919,None,289.77,0.0,0.0,1,Rain,light rain,6/3/2016 23:00,1999,low
22,16026,None,296.23,0.55,0.0,40,Rain,moderate rain,6/26/2015 18:00,4416,high
23,31806,None,274.83,0.0,0.0,90,Drizzle,light intensity drizzle,3/16/2017 22:00,2857,low
