,Unnamed: 0,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
0,21340,None,272.55,0.0,0.0,40,Clouds,scattered clouds,2/16/2016 17:00,6009,very high,medium
1,13808,None,288.43,0.0,0.0,75,Clouds,broken clouds,4/20/2014 23:00,1132,very low,medium
2,38768,None,274.22,0.0,0.0,1,Clear,sky is clear,11/8/2017 12:00,4585,high,medium
3,20846,None,269.95,0.0,0.0,90,Snow,light snow,1/26/2016 1:00,314,very low,low
4,22942,None,284.28,0.0,0.0,90,Drizzle,drizzle,4/30/2016 20:00,3347,medium,medium
5,17886,None,296.83,1.27,0.0,75,Rain,moderate rain,9/2/2015 2:00,325,very low,high
6,26678,None,288.58,0.0,0.0,1,Clear,sky is clear,9/17/2016 3:00,391,very low,medium
7,29214,None,260.65,0.0,0.0,90,Snow,light snow,12/17/2016 4:00,333,very low,low
8,44640,None,290.55,0.0,0.0,5,Rain,heavy intensity rain,6/2/2018 22:00,2808,low,medium
9,10859,None,263.41,0.0,0.0,64,Clouds,broken clouds,12/22/2013 1:00,765,very low,low
10,33799,None,279.02,0.0,0.0,1,Clear,sky is clear,5/19/2017 7:00,6490,very high,medium
11,14910,None,291.78,0.0,0.0,0,Clear,Sky is Clear,6/5/2014 8:00,6045,very high,medium
12,6290,None,286.93,0.0,0.0,90,Rain,light rain,5/22/2013 16:00,6702,very high,medium
13,10289,None,274.81,0.0,0.0,64,Haze,haze,12/2/2013 11:00,4584,high,medium
14,4238,None,274.59,0.0,0.0,90,Drizzle,light intensity drizzle,3/11/2013 1:00,362,very low,medium
15,12025,None,255.48,0.0,0.0,90,Clouds,overcast clouds,2/5/2014 10:00,4212,medium,low
16,18928,None,287.47,0.0,0.0,1,Clear,sky is clear,10/11/2015 5:00,327,very low,medium
17,41334,None,258.8,0.0,0.0,1,Clear,sky is clear,2/7/2018 21:00,2463,low,low
18,26694,None,292.16,0.0,0.0,1,Clear,sky is clear,9/17/2016 19:00,3592,medium,high
19,22457,None,297.48,0.0,0.0,1,Clear,sky is clear,4/14/2016 18:00,4686,high,high
20,12062,None,255.08,0.0,0.0,20,Clouds,few clouds,2/6/2014 23:00,1250,very low,low
21,23919,None,289.77,0.0,0.0,1,Rain,light rain,6/3/2016 23:00,1999,low,medium
22,16026,None,296.23,0.55,0.0,40,Rain,moderate rain,6/26/2015 18:00,4416,high,high
23,31806,None,274.83,0.0,0.0,90,Drizzle,light intensity drizzle,3/16/2017 22:00,2857,low,medium
24,46904,None,295.21,0.0,0.0,75,Clouds,broken clouds,8/21/2018 16:00,6229,very high,high
25,38605,None,271.75,0.0,0.0,1,Clear,sky is clear,11/3/2017 4:00,842,very low,low
26,5268,None,274.03,0.0,0.0,90,Snow,heavy snow,4/19/2013 2:00,261,very low,medium
27,32360,None,281.82,0.0,0.0,40,Mist,mist,4/4/2017 0:00,561,very low,medium
28,6808,None,288.12,0.0,0.0,88,Clouds,overcast clouds,6/8/2013 22:00,3254,medium,medium
29,27993,None,278.89,0.0,0.0,1,Clear,sky is clear,11/11/2016 10:00,4478,high,medium
30,6346,None,283.92,0.0,0.0,90,Drizzle,light intensity drizzle,5/23/2013 19:00,2542,low,medium
31,6017,None,287.86,0.0,0.0,90,Rain,light rain,5/14/2013 13:00,5027,high,medium
32,44994,None,298.76,0.0,0.0,1,Clear,sky is clear,6/16/2018 1:00,825,very low,high
33,25511,None,297.0,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 13:00,4781,high,high
34,41950,None,268.01,0.0,0.0,1,Clear,sky is clear,3/1/2018 7:00,6275,very high,low
35,17305,None,290.0,0.0,0.0,1,Clear,sky is clear,8/12/2015 0:00,617,very low,medium
36,12272,None,265.59,0.0,0.0,90,Clouds,overcast clouds,2/15/2014 17:00,3908,medium,low
37,28630,None,274.88,0.0,0.0,90,Rain,moderate rain,11/29/2016 6:00,5552,high,medium
38,21246,None,257.82,0.0,0.0,5,Clear,sky is clear,2/12/2016 19:00,3891,medium,low
39,34766,None,287.77,0.0,0.0,1,Clear,sky is clear,6/23/2017 7:00,6583,very high,medium
40,47273,None,294.92,0.25,0.0,40,Rain,moderate rain,9/1/2018 4:00,419,very low,high
41,22043,None,277.87,0.0,0.0,90,Drizzle,drizzle,3/26/2016 8:00,2608,low,medium
42,25278,None,297.37,0.0,0.0,90,Rain,light rain,7/27/2016 10:00,4374,high,high
43,37085,None,289.44,0.0,0.0,1,Fog,fog,9/12/2017 1:00,364,very low,medium
44,42548,None,277.62,0.0,0.0,40,Clouds,scattered clouds,3/22/2018 15:00,5963,very high,medium
45,26753,None,286.28,0.0,0.0,32,Clouds,scattered clouds,9/20/2016 8:00,6224,very high,medium
46,22540,None,297.45,0.0,0.0,75,Haze,haze,4/18/2016 15:00,5850,very high,high
47,5333,None,271.98,0.0,0.0,90,Snow,heavy snow,4/20/2013 6:00,1421,very low,low
48,26757,None,294.32,0.0,0.0,0,Clear,Sky is Clear,9/20/2016 13:00,4351,medium,high
49,22265,None,275.72,0.0,0.0,90,Rain,light rain,4/6/2016 2:00,292,very low,medium
50,4868,None,278.01,0.0,0.0,90,Rain,moderate rain,4/7/2013 18:00,3599,medium,medium
51,38225,None,289.42,0.0,0.0,90,Drizzle,drizzle,10/21/2017 20:00,3000,medium,medium
52,42351,None,269.86,0.0,0.0,1,Clear,sky is clear,3/15/2018 8:00,5907,very high,low
53,36341,None,292.92,0.0,0.0,90,Rain,moderate rain,8/17/2017 4:00,917,very low,high
54,8272,None,288.55,0.0,0.0,0,Clear,Sky is Clear,8/8/2013 8:00,6067,very high,medium
55,41379,None,261.08,0.0,0.0,20,Clouds,few clouds,2/9/2018 15:00,5861,very high,low
56,12828,None,277.65,0.0,0.0,90,Clouds,overcast clouds,3/11/2014 0:00,616,very low,medium
57,3082,None,254.7,0.0,0.0,90,Clouds,overcast clouds,1/21/2013 7:00,4397,high,low
58,33730,None,292.75,0.0,0.0,90,Mist,mist,5/17/2017 16:00,6426,very high,high
59,3057,None,271.42,0.0,0.0,40,Clouds,scattered clouds,1/19/2013 23:00,3125,medium,low
60,1223,None,277.1,0.0,0.0,99,Rain,light rain,11/16/2012 3:00,391,very low,medium
61,27842,None,277.09,0.0,0.0,1,Mist,mist,11/5/2016 6:00,1200,very low,medium
62,28015,None,273.82,0.0,0.0,1,Clear,sky is clear,11/12/2016 8:00,2844,low,medium
63,20836,None,272.08,0.0,0.0,90,Snow,light snow,1/25/2016 16:00,6309,very high,low
64,7830,None,296.36,0.0,0.0,32,Clouds,scattered clouds,7/21/2013 12:00,4505,high,high
65,14025,None,286.77,0.0,0.0,48,Clouds,scattered clouds,5/4/2014 18:00,4534,high,medium
66,14583,None,292.44,0.0,0.0,1,Clear,sky is clear,5/23/2014 10:00,4798,high,high
67,41371,None,256.01,0.0,0.0,40,Clouds,scattered clouds,2/9/2018 7:00,6499,very high,low
68,144,None,284.23,0.0,0.0,40,Clouds,scattered clouds,10/8/2012 18:00,4259,medium,medium
69,42135,None,266.94,0.0,0.0,1,Clear,sky is clear,3/7/2018 1:00,376,very low,low
70,37628,None,289.22,0.0,0.0,75,Thunderstorm,proximity thunderstorm,10/1/2017 23:00,1349,very low,medium
71,41343,None,256.22,0.0,0.0,1,Snow,light snow,2/8/2018 6:00,5449,high,low
72,32518,None,282.36,0.0,0.0,90,Clouds,overcast clouds,4/10/2017 5:00,2614,low,medium
73,16201,None,293.02,0.0,0.0,1,Clear,sky is clear,7/2/2015 21:00,2997,medium,high
74,5443,None,273.89,0.0,0.0,90,Fog,fog,4/23/2013 18:00,4641,high,medium
75,8676,None,303.82,0.0,0.0,0,Clear,Sky is Clear,8/26/2013 20:00,3321,medium,high
76,31754,None,266.28,0.0,0.0,1,Clear,sky is clear,3/14/2017 22:00,1744,low,low
77,45682,None,295.37,0.0,0.0,1,Clear,sky is clear,7/9/2018 6:00,5679,high,high
78,6268,None,289.11,0.0,0.0,90,Mist,mist,5/22/2013 0:00,566,very low,medium
79,15911,None,292.6,0.0,0.0,75,Clouds,broken clouds,8/5/2014 9:00,5157,high,high
80,10079,None,264.38,0.0,0.0,40,Clouds,scattered clouds,11/23/2013 12:00,5311,high,low
81,12335,None,267.32,0.0,0.0,20,Clouds,few clouds,2/18/2014 8:00,5400,high,low
82,7364,None,293.81,0.0,0.0,1,Clear,sky is clear,7/1/2013 21:00,2524,low,high
